id,chart_template_id:id,code,name,user_type_id:id,reconcile,group_id:id
ccleen_au_5640,l10n_ccleen_au.l10n_ccleen_au_chart_template,5640,Inbound Freight & Duty  Clearing,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_6000,l10n_ccleen_au.l10n_ccleen_au_chart_template,6000,Salaries,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6060,l10n_ccleen_au.l10n_ccleen_au_chart_template,6060,Salaries : Salary Sacrifice - Super Sacrifice,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6062,l10n_ccleen_au.l10n_ccleen_au_chart_template,6062,Salary Sacrifice - Novated Lease Pre Tax,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6064,l10n_ccleen_au.l10n_ccleen_au_chart_template,6064,Salaries : Salary Sacrifice - Novated Lease After Tax,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6070,l10n_ccleen_au.l10n_ccleen_au_chart_template,6070,Salaries : Redundancies,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6080,l10n_ccleen_au.l10n_ccleen_au_chart_template,6080,Superannuation Expense,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6100,l10n_ccleen_au.l10n_ccleen_au_chart_template,6100,Salary OnCosts,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6110,l10n_ccleen_au.l10n_ccleen_au_chart_template,6110,Payroll Tax,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6120,l10n_ccleen_au.l10n_ccleen_au_chart_template,6120,Salary OnCosts : Workers Compensation,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6130,l10n_ccleen_au.l10n_ccleen_au_chart_template,6130,Salaries : Annual Leave,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6132,l10n_ccleen_au.l10n_ccleen_au_chart_template,6132,Salaries : Personal Leave,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6140,l10n_ccleen_au.l10n_ccleen_au_chart_template,6140,Salaries : Long Service Leave,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6200,l10n_ccleen_au.l10n_ccleen_au_chart_template,6200,Salary OnCosts : Recruiting,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6210,l10n_ccleen_au.l10n_ccleen_au_chart_template,6210,Salaries : Sal & Wages - Accrual,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6220,l10n_ccleen_au.l10n_ccleen_au_chart_template,6220,Staff Amenities,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6230,l10n_ccleen_au.l10n_ccleen_au_chart_template,6230,Staff Training,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6240,l10n_ccleen_au.l10n_ccleen_au_chart_template,6240,Staff Relocations,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6242,l10n_ccleen_au.l10n_ccleen_au_chart_template,6242,Staff Recruitment,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6260,l10n_ccleen_au.l10n_ccleen_au_chart_template,6260,Worker Cover,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6280,l10n_ccleen_au.l10n_ccleen_au_chart_template,6280,Fringe Benefit Tax,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6295,l10n_ccleen_au.l10n_ccleen_au_chart_template,6295,Provision for Staff Contingencies,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6296,l10n_ccleen_au.l10n_ccleen_au_chart_template,6296,Provision for Annual Leave,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6297,l10n_ccleen_au.l10n_ccleen_au_chart_template,6297,Provision for Long Service Leave,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6298,l10n_ccleen_au.l10n_ccleen_au_chart_template,6298,Provision for Personal/Carers Leave,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6400,l10n_ccleen_au.l10n_ccleen_au_chart_template,6400,Marketing,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6500,l10n_ccleen_au.l10n_ccleen_au_chart_template,6500,Entertainment & Gift &FBT Meals,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6502,l10n_ccleen_au.l10n_ccleen_au_chart_template,6502,FBT Meal - Clients,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6504,l10n_ccleen_au.l10n_ccleen_au_chart_template,6504,FBT Meal - Employees,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6506,l10n_ccleen_au.l10n_ccleen_au_chart_template,6506,Minor Entertainment Expenses for Employees,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6510,l10n_ccleen_au.l10n_ccleen_au_chart_template,6510,Travel,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6512,l10n_ccleen_au.l10n_ccleen_au_chart_template,6512,Accommodation,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6514,l10n_ccleen_au.l10n_ccleen_au_chart_template,6514,Airfares,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6516,l10n_ccleen_au.l10n_ccleen_au_chart_template,6516,Travel Meals,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6517,l10n_ccleen_au.l10n_ccleen_au_chart_template,6517,Travel - Mileage,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6518,l10n_ccleen_au.l10n_ccleen_au_chart_template,6518,Taxis/Parking,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6520,l10n_ccleen_au.l10n_ccleen_au_chart_template,6520,Travel - Etoll,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6522,l10n_ccleen_au.l10n_ccleen_au_chart_template,6522,Travel: Insruance,account.data_account_type_expenses,FALSE,account_grp_expense
ccleen_au_6524,l10n_ccleen_au.l10n_ccleen_au_chart_template,6524,Travel : Miscl.,account.data_account_type_expenses,FALSE,account_grp_expense
